pid,category_id,sub_category_id,pname,price,discount_rate,main_image,main_origin_image,slide_image,slide_origin_image,desc_image,desc_origin_image,pdate
24,100,1,산들쑥썬스틱 (50+ PA++++),18000,0,[upload_files/25.jpg],NULL,"[upload_files/s25_1.jpg,upload_files/s25_2.jpg,upload_files/s25_3.jpg,upload_files/s25_4.jpg,upload_files/s25_5.jpg]",NULL,"[upload_files/d25_1.jpg,upload_files/d25_2.jpg]",NULL,2025-01-25 12:40
25,100,2,산들녹차세럼 : 녹차 + 판테놀,17000,0,[upload_files/26.jpg],NULL,"[upload_files/s26_1.jpg,upload_files/s26_2.jpg,upload_files/s26_3.jpg,upload_files/s26_4.jpg]",NULL,"[upload_files/d26_1.jpg,upload_files/d26_2.jpg]",NULL,2025-01-26 12:40
26,100,3,붉은 팥 수분워터젤,18000,0,[upload_files/27.jpg],NULL,"[upload_files/s27_1.jpg,upload_files/s27_2.jpg,upload_files/s27_3.jpg,upload_files/s27_4.jpg,upload_files/s27_5.jpg]",NULL,"[upload_files/d27_1.jpg,upload_files/d27_2.jpg]",NULL,2025-01-27 12:40
27,100,7,붉은 팥 모공정화마스크,20000,0,[upload_files/28.jpg],NULL,"[upload_files/s28_1.jpg,upload_files/s28_2.jpg,upload_files/s28_3.jpg,upload_files/s28_4.jpg,upload_files/s28_5.jpg]",NULL,"[upload_files/d28_1.jpg,upload_files/d28_2.jpg]",NULL,2025-01-28 12:40
28,100,7,병풀진정마스크 (10매),25000,8,[upload_files/29.jpg],NULL,"[upload_files/s29_1.jpg,upload_files/s29_2.jpg,upload_files/s29_3.jpg,upload_files/s29_4.jpg,upload_files/s29_5.jpg]",NULL,"[upload_files/d29_1.jpg,upload_files/d29_2.jpg]",NULL,2025-01-29 12:40
29,100,2,병풀비타세럼,17000,0,[upload_files/30.jpg],NULL,"[upload_files/s30_1.jpg,upload_files/s30_2.jpg,upload_files/s30_3.jpg,upload_files/s30_4.jpg,upload_files/s30_5.jpg]",NULL,"[upload_files/d30_1.jpg,upload_files/d30_2.jpg]",NULL,2025-01-30 12:40
30,100,5,미감클렌징밤,19000,0,[upload_files/31.jpg],NULL,"[upload_files/s31_1.jpg,upload_files/s31_2.jpg,upload_files/s31_3.jpg,upload_files/s31_4.jpg,upload_files/s31_5.jpg]",NULL,"[upload_files/d31_1.jpg,upload_files/d31_2.jpg]",NULL,2025-01-31 12:40
31,400,1,맑은쌀선크림 더블기획세트 (SPF 50+ PA++++),36000,17,[upload_files/32.jpg],NULL,"[upload_files/s32_1.jpg,upload_files/s32_2.jpg,upload_files/s32_3.jpg,upload_files/s32_4.jpg,upload_files/s32_5.jpg]",NULL,"[upload_files/d32_1.jpg,upload_files/d32_2.jpg,upload_files/d32_3.jpg]",NULL,2025-02-01 12:40
32,100,1,맑은쌀선크림 : 고아미+프로바이오틱스 (SPF50+ PA++++),18000,0,[upload_files/33.jpg],NULL,"[upload_files/s33_1.jpg,upload_files/s33_2.jpg,upload_files/s33_3.jpg,upload_files/s33_4.jpg,upload_files/s33_5.jpg]",NULL,"[upload_files/d33_1.jpg,upload_files/d33_2.jpg,upload_files/d33_3.jpg]",NULL,2025-02-02 12:40
33,100,5,맑은쌀 약산성 클렌징바,12000,17,[upload_files/34.jpg],NULL,"[upload_files/s34_1.jpg,upload_files/s34_2.jpg,upload_files/s34_3.jpg,upload_files/s34_4.jpg]",NULL,"[upload_files/d34_1.jpg,upload_files/d34_2.jpg]",NULL,2025-02-03 12:40
34,100,6,꽃담필링젤,13000,0,[upload_files/35.jpg],NULL,"[upload_files/s35_1.jpg,upload_files/s35_2.jpg,upload_files/s35_3.jpg,upload_files/s35_4.jpg]",NULL,"[upload_files/d35_1.jpg,upload_files/d35_2.jpg]",NULL,2025-02-04 12:40
35,100,2,광채프로폴리스세럼 : 프로폴리스 + 나이아신아마이드,17000,0,[upload_files/36.jpg],NULL,"[upload_files/s36_1.jpg,upload_files/s36_2.jpg,upload_files/s36_3.jpg,upload_files/s36_4.jpg,upload_files/s36_5.jpg]",NULL,"[upload_files/d36_1.jpg,upload_files/d36_2.jpg,upload_files/d36_3.jpg,upload_files/d36_4.jpg,upload_files/d36_5.jpg]",NULL,2025-02-05 12:40
